KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_2SD4m,Sigma Zero system,,,,,,,,,,,,,,,,
pda_KEWqK,Find the Asteroid Field,,,,,,,,,,,,,,,,
pda_CiWmn,"Activate the TERRITORIES checkbox in the galaxy map ([c][00ff00]M[-][/c]) and find the [c][ffff00]Sigma Zero[-][/c] system, situated in between the area between Zirax, Traders Guild and Polaris territories.",,,,,,,,,,,,,,,,
pda_e4CqS,"Commander, we are getting new coordinates. \n\nI have [c][ffff00]marked [-][/c]the position on screen.",,,,,,,,,,,,,,,,
pda_igOO8,Approach the Base,,,,,,,,,,,,,,,,
pda_6WiSi,\nFly to the [c][ffff00]asteroid field [-][/c]in the Sigma Zero system. GLaD will send you the exact location when you arrive.,,,,,,,,,,,,,,,,
pda_SCqGS,"Commander, we are advised to park our ship and enter the base through the [c][ffff00]Entrance[-][/c] door behind the corridor on the upper platform.",,,,,,,,,,,,,,,,
pda_auWCC,GLaD to meet you,,,,,,,,,,,,,,,,
pda_WiGCu,Find door,,,,,,,,,,,,,,,,
pda_aSuGG,Enter the base. The entrance door is located at the end of the corridor on the upper platform,,,,,,,,,,,,,,,,
pda_KeuOS,We are advised to see the Commander in the upper control room.,,,,,,,,,,,,,,,,
pda_m4mrO,Speak Commander,,,,,,,,,,,,,,,,
pda_08qW8,Enter the base and speak to the commander in the upper control room of the base,,,,,,,,,,,,,,,,
pda_WjOWO,GLaD to meet you,,,,,,,,,,,,,,,,
pda_GuJCS,Updating..,,,,,,,,,,,,,,,,
pda_SWiCC,===,,,,,,,,,,,,,,,,
pda_u208K,What we know...,,,,,,,,,,,,,,,,
pda_2CqWm,Find Emmerson,,,,,,,,,,,,,,,,
pda_8qG4G,Emmerson is in the bar on the middle deck,,,,,,,,,,,,,,,,
pda_meqea,Story Chapter 8: [c][00ffff]Sigma Fulcrum[-][/c],,,,,,,,,,,,,,,,
pda_qiC9K,"Story Chapter 8: [c][00ffff]Sigma Fulcrum[-][/c]\n\nYou have finally made contact with what remains of the UCH . Those that did not want to join Vice Admiral Perez have founded Galactic Liberation and Defense (GLaD). Your partner Commander Alex Lamarr and Captain Jennifer Zerogen were integral in its creation. \n\nThanks to information you provided, the GLaD were able to piece together a vague outline of what is happening in Andromeda - but there is still much we do not know.\n\nIn the meantime, the GLaD requests your assistance once again..",,,,,,,,,,,,,,,,
pda_CW0Ga,Incoming Message,,,,,,,,,,,,,,,,
pda_iapee,Securing comm channel..,,,,,,,,,,,,,,,,
pda_CFqu4,===,,,,,,,,,,,,,,,,
pda_OqWKC,"Commander, please let us [c][ffff00]meet [-][/c]in the [c][ffff00]command room[-][/c]\n We have in need of your skills with a delicate problem we are facing...",,,,,,,,,,,,,,,,
pda_e4KIe,Central Operations,,,,,,,,,,,,,,,,
pda_Wu0eq,Speak to Mercer,,,,,,,,,,,,,,,,
pda_8SO0a,The Central Operations area is where you met Mercer Junior for the first time.,,,,,,,,,,,,,,,,
pda_Ceeqn,Sigma Fulcrum,,,,,,,,,,,,,,,,
pda_mmYeK,Find Yarod,,,,,,,,,,,,,,,,
pda_Ga8qe,Sigma Fulcrum,,,,,,,,,,,,,,,,
pda_mamaW,Find an Access Point,,,,,,,,,,,,,,,,
pda_qWCmm,Find the [c][ffff00]CPU_Console[-][/c] so Yarod can upload himself to the station core. You need to be within 4m.,,,,,,,,,,,,,,,,
pda_C0GRO,[[c][00ffff]Yarod[-][/c]] Perfect. Uploading started. [c][ffff00]I need a few seconds[-][/c]. Stay low.,,,,,,,,,,,,,,,,
pda_OKGaj,Sigma Fulcrum,,,,,,,,,,,,,,,,
pda_em8Ci,Integration,,,,,,,,,,,,,,,,
pda_YSCK8,Yarod needs a few seconds to upload himself to the station core.,,,,,,,,,,,,,,,,
pda_80CKa,Sigma Fulcrum,,,,,,,,,,,,,,,,
pda_SG6Am,Destroy the core,,,,,,,,,,,,,,,,
pda_0c4aS,Debriefing,,,,,,,,,,,,,,,,
pda_i0eGu,Back to Base,,,,,,,,,,,,,,,,
pda_wqamK,Fly back to the GLaD Outpost in the nearby asteroid field.,,,,,,,,,,,,,,,,
pda_e8SWG,Speak to the Traders,,,,,,,,,,,,,,,,
pda_4OGa0,Speak to the traders in the trading room at the main entrance.,,,,,,,,,,,,,,,,
pda_eWame,Yarod was last seen in the lower level of the station. He is probably hiding!,,,,,,,,,,,,,,,,
pda_SSiuu,Find the Station,,,,,,,,,,,,,,,,
pda_ueUmM,Sigma Fulcrum is in the same system. Warp to the [c][ffff00]STATION symbol[-][/c] on the system map ([c][00ff00]M[-][/c]),,,,,,,,,,,,,,,,
pda_4uSqq,Very nice. Let's [c][ffff00]check out[-][/c] the [c][ffff00]traders and ask around[-][/c]. \nBest place for information on these stations.,,,,,,,,,,,,,,,,
pda_CEOOq,We should watch out while searching for Yarod. \n\nSome of those guys don't look too friendly. We don't want to be shot in the back.,,,,,,,,,,,,,,,,
pda_88WiW,Sigma Fulcrum,,,,,,,,,,,,,,,,
pda_CG4W4,Sigma Fulcrum,,,,,,,,,,,,,,,,
pda_aamWW,Sigma Fulcrum,,,,,,,,,,,,,,,,
pda_SKa0G,Destroy Yarod,,,,,,,,,,,,,,,,
pda_0emUm,===,,,,,,,,,,,,,,,,
pda_0WEMu,[[c][80ffff]Yarod[-][/c]] Well done. This was very convincing. Now let's find an [c][ffff00]Access Point.[-][/c],,,,,,,,,,,,,,,,
pda_S8Oaa,Story Chapter 9: [c][00ffff]Unexpected Allies[-][/c],,,,,,,,,,,,,,,,
pda_GCmqe,Incoming Message,,,,,,,,,,,,,,,,
pda_4ouaS,Securing com channel..,,,,,,,,,,,,,,,,
pda_iqWCW,===,,,,,,,,,,,,,,,,
pda_48Ok4,GLaD station,,,,,,,,,,,,,,,,
pda_YWe4m,Speak to Mercer,,,,,,,,,,,,,,,,
pda_CawSG,The commander can be found in the main command center.,,,,,,,,,,,,,,,,
pda_BvCEG,Approach the Station,,,,,,,,,,,,,,,,
pda_8O8qY,===,,,,,,,,,,,,,,,,
pda_i0W8a,GLaD station,,,,,,,,,,,,,,,,
pda_GG0OW,Updating position,,,,,,,,,,,,,,,,
pda_aWamq,..,,,,,,,,,,,,,,,,
pda_quPiu,[[c][00ffff]IDA[-][/c]] Interesting. The data from Sigma Fulcrum would have sent us to this system as well. Yarod and I do not think this is pure coincidence..,,,,,,,,,,,,,,,,
pda_0SE8e,Message source,,,,,,,,,,,,,,,,
pda_0W8C0,Find asteroid field,,,,,,,,,,,,,,,,
pda_iqGm0,The system is close to the GLaD base in a direct line from there just a few clicks into the Zirax territory.\nLook for a solar system with the marker '[c][ffff00]Mining Operation[-][/c]'. Find the [c][ffff00]asteroid field[-][/c] inside the system.\n\nYou need to bring the [c][00ffff]STAFF OF GUIDANCE[-][/c] with you in your inventory!,,,,,,,,,,,,,,,,
pda_eOGWG,[[c][00ffff]IDA[-][/c]] We are receiving coordinates of a vessel nearby and advised to hold fire on approach. \nThe message is signed by Ambassador  Hyzani from the House of Abyssal of the Zirax Empire!,,,,,,,,,,,,,,,,
pda_XSamm,Approach signal,,,,,,,,,,,,,,,,
pda_iUGiW,Do not fire on the vessel!,,,,,,,,,,,,,,,,
pda_q0WCa,[[c][00ffff]IDA[-][/c]] They are asking us to bring our ship along their starboard side. There is an entrance on the aft.,,,,,,,,,,,,,,,,
pda_Owum8,The ambassador,,,,,,,,,,,,,,,,
pda_4GqqO,Board ship,,,,,,,,,,,,,,,,
pda_aS0C4,===,,,,,,,,,,,,,,,,
pda_iGCKa,Go to bridge,,,,,,,,,,,,,,,,
pda_4a48s,===,,,,,,,,,,,,,,,,
pda_S8gK0,"[[c][00ffff]Unknown[-][/c]] Welcome to the abyssal science vessel 'Her Majesty Herschel' . \nYou will find the [c][ffff00]ambassador on the bridge[-][/c]. Please, Do not touch anything!",,,,,,,,,,,,,,,,
pda_AAW4w,Excavation Site,,,,,,,,,,,,,,,,
pda_88mGC,Land on Planet,,,,,,,,,,,,,,,,
pda_ii0aG,Warp to the [c][00ffff]temperate [-][/c]planet in this system.,,,,,,,,,,,,,,,,
pda_eqSMu,[[c][00ffff]IDA[-][/c]] Do I need to point out the fact that this lady is aware of our activities here and she knew exactly where to find us and the GLaD? Just saying...\n\n[[c][00ffff]Yarod[-][/c]] She is part of the House of Abyssal. Intelligence reports suggest there is growing unrest in the Empire,,,,,,,,,,,,,,,,
pda_S8Wiq,Approach Site,,,,,,,,,,,,,,,,
pda_a0CSa,Follow the yellow marker after entering the planet.,,,,,,,,,,,,,,,,
pda_eDieq,Excavation Site,,,,,,,,,,,,,,,,
pda_iiiu4,Find Artifacts,,,,,,,,,,,,,,,,
pda_uqCau,Check the boxes and cargo containers in the rooms for Technical Artifacts and Mutated Substance,,,,,,,,,,,,,,,,
pda_muW04,"[[c][00ffff]Yarod[-][/c]] Commander, this technical artifact fragment is similar to the one I came in touch with previously. Also, this room is permeated with an inert form of Essence of the VOID. It is encased in this [c][ffff00]Mutated Substance[-][/c] and stored in this container! We should [c][ffff00]take both with us[-][/c]",,,,,,,,,,,,,,,,
pda_KOoqi,The Archive,,,,,,,,,,,,,,,,
pda_Qi0Si,Back to Ambassador,,,,,,,,,,,,,,,,
pda_4cmOq,Bring the artifact and the mutated substance to the ambassador,,,,,,,,,,,,,,,,
pda_m40Uq,Find Orbit,,,,,,,,,,,,,,,,
pda_84CSG,Find the archive in the orbit of the Desert Burnt world,,,,,,,,,,,,,,,,
pda_0G80a,Approach Archive,,,,,,,,,,,,,,,,
pda_MKS8G,"[[c][00ffff]IDA[-][/c]] I am scanning a few Pirate vessels and Zirax in that sector. Not many, but we should be cautious.",,,,,,,,,,,,,,,,
pda_qmSaa,==,,,,,,,,,,,,,,,,
pda_8gwQ8,[[c][00ffff]IDA[-][/c]] There is a [c][ffff00]boarding ramp at the back[-][/c] of a docked vessel. This would make a good entry point!,,,,,,,,,,,,,,,,
pda_4K0Cm,Board Ship,,,,,,,,,,,,,,,,
pda_u0IuS,Board ship and make your way through the asteroid.,,,,,,,,,,,,,,,,
pda_CeBCK,Find the Keeper,,,,,,,,,,,,,,,,
pda_WqHWK,The keeper can be found in one of the archive rooms. You might need to find a way inside. Check the [c][ffff00]docked vessel[-][/c] and all the [c][ffff00]caverns [-][/c]for [c][ffff00]notes [-][/c]and [c][ffff00]levers. [-][/c]They might include hints on how to get inside!,,,,,,,,,,,,,,,,
pda_a8Y8a,Let's see if we learn anything valuable from this archive.,,,,,,,,,,,,,,,,
pda_uqeWO,The Archive,,,,,,,,,,,,,,,,
pda_aaH4e,Wait for Download,,,,,,,,,,,,,,,,
pda_qiqaw,===,,,,,,,,,,,,,,,,
pda_uCWO4,[[c][00ffff]IDA[-][/c]]  We are getting company! Counting [c][ffff00]10 [-][/c]enemy signatures.\n\nYou need to find the [c][ffff00]enemies [-][/c]in the archive rooms and[c][ffff00] kill them[-][/c] before they can destroy the archive!,,,,,,,,,,,,,,,,
pda_Kq8WQ,Defend the Archive,,,,,,,,,,,,,,,,
pda_OQCmK,Kill Attackers,,,,,,,,,,,,,,,,
pda_Oi4KO,"There are 10 enemies spawned in the archive, but not outside! Find them and kill them.",,,,,,,,,,,,,,,,
pda_KKuGi,"[[c][00ffff]Keeper[-][/c]] Download completed. This archive is now shutting down. Thanks for your visit. Farewell, Keeper of the Staff!",,,,,,,,,,,,,,,,
pda_SmSCJ,The Ambassador,,,,,,,,,,,,,,,,
pda_eOe4K,Back to Ambassador,,,,,,,,,,,,,,,,
pda_SimSK,Fly back to the ship of the ambassador in the asteroid field of the system and talk to her.,,,,,,,,,,,,,,,,
pda_CO4CG,"Story Chapter 9: [c][00ffff]Unexpected Allies[-][/c]\n\nYou found Yarod, a former station AI that got in touch with a VOID artifact, which seems to have allowed him to develop his own personality. He has integrated himself into your suit and is now supporting IDA and you on your missions. He asked you to not reveal  him to the GLaD or any other organization. He might have a reason for this. And you possibly too.\n\nYou still do not entirely trust that organization called GLaD. Even the UCH itself has become a bit suspicious to you, based on what you learned from the TITAN logs -  but your recent endeavors also didn't bring you any closer to Alex or an answer that would explain what is happening.\n\nSo you have no other choice as to smile and try to stay in the game - which leads to finding an unexpected ally..\n[c][00ffff][-][/c]",,,,,,,,,,,,,,,,
pda_q5QG2,GLaD station,,,,,,,,,,,,,,,,
pda_8Cs8m,The ambassador,,,,,,,,,,,,,,,,
pda_q8iLS,Excavation Site,,,,,,,,,,,,,,,,
pda_uWm4a,The Archive,,,,,,,,,,,,,,,,
pda_4U4sG,The Archive,,,,,,,,,,,,,,,,
pda_q0KOu,Story Chapter 10: [c][00ffff]Wins and Losses[-][/c],,,,,,,,,,,,,,,,
pda_q8SeS,"[b]Story Chapter 10: [c][00ffff]Wins and Losses[-][/c][/b]\n\nSomething unexpected happened: you found an ally within the Zirax Empire. The ambassador Hyzani of the House of Abyssal not only helped you to understand more about what makes the Zirax Empire tick, but also seems to know a lot about the events of the recent past. Especially about the LEGACY. And also about a mysterious, presumably extinct race named the PROGENITOR. \n\nWhile you still try to fiddle out how the new information fits into the big picture, including the VOID and the TESCH, you are racing back to the GLaD outpost to reveal a possible traitor and save the crew from an already rolling Ghyst assault on the base.",,,,,,,,,,,,,,,,
pda_oK80P,GLaD Hideout,,,,,,,,,,,,,,,,
pda_MaPOu,Back to Asteroid Field,,,,,,,,,,,,,,,,
pda_Mu4mO,Fly back to the GLaD outpost - and do not waste time!,,,,,,,,,,,,,,,,
pda_umKaK,GLaD Hideout,,,,,,,,,,,,,,,,
pda_0qeu0,Go to Command Center,,,,,,,,,,,,,,,,
pda_8CS80,===,,,,,,,,,,,,,,,,
pda_KOeew,GLaD Hideout,,,,,,,,,,,,,,,,
pda_KqG44,Speak to Mercer,,,,,,,,,,,,,,,,
pda_mqG8O,===,,,,,,,,,,,,,,,,
pda_eCGJe,GLaD Hideout,,,,,,,,,,,,,,,,
pda_C4U04,Speak to Bartender,,,,,,,,,,,,,,,,
pda_q80G1,===,,,,,,,,,,,,,,,,
pda_aeKqm,Hello Commander! \nI have a note for you: [c][ffff00]Ensign Henrid[-][/c] wants to speak to you. \nHe can be found upstairs in the Crew Quarters.,,,,,,,,,,,,,,,,
pda_aWG8v,GLaD Hideout,,,,,,,,,,,,,,,,
pda_CaCKW,Find Ensign Henrid,,,,,,,,,,,,,,,,
pda_CqSWq,"Use the elevator behind the door to the left of the bartender. It leads up to the crew quarters, sleeping and bathrooms.",,,,,,,,,,,,,,,,
pda_e4eau,GLaD Hideout,,,,,,,,,,,,,,,,
pda_eO6Ci,Fend off attacker,,,,,,,,,,,,,,,,
pda_OFSC4,====,,,,,,,,,,,,,,,,
pda_AO80C,Follow noise,,,,,,,,,,,,,,,,
pda_e8K4e,===,,,,,,,,,,,,,,,,
pda_SFGaK,GLaD Hideout,,,,,,,,,,,,,,,,
pda_iuwOq,WHAT THE HELL .. !,,,,,,,,,,,,,,,,
pda_uOWCG,Ensign? Henrid?,,,,,,,,,,,,,,,,
pda_eSuSq,GLaD Hideout,,,,,,,,,,,,,,,,
pda_SKmiS,Find Palant,,,,,,,,,,,,,,,,
pda_0Sug4,Sergeant Palant can be found in the loading dock on the lower level of the base.,,,,,,,,,,,,,,,,
pda_KaSuK,GLaD Hideout,,,,,,,,,,,,,,,,
pda_e8CGE,Go to console,,,,,,,,,,,,,,,,
pda_hOWW0,"[[c][00ffff]Palant[-][/c]] Commander, I am measuring an increase in the particle density. Please - you have the only fully closed suit - reactivate the seals whatever it costs.",,,,,,,,,,,,,,,,
pda_qim2S,===,,,,,,,,,,,,,,,,
pda_0xaCe,GLaD Hideout,,,,,,,,,,,,,,,,
pda_68erW,Speak to Palant,,,,,,,,,,,,,,,,
pda_8CauK,===,,,,,,,,,,,,,,,,
pda_uKqaW,GLaD Hideout,,,,,,,,,,,,,,,,
pda_IquqS,Speak to Palant,,,,,,,,,,,,,,,,
pda_4SuiC,===,,,,,,,,,,,,,,,,
pda_0ma0g,"[[c][00ffff]Palant[-][/c]] Commander, our communication array has just exploded!",,,,,,,,,,,,,,,,
pda_rKCul,"Ah .. the sound of treason!\n\nPalant! Gather the crew and get out of here. We are under attack! \nI'll [c][ffff00]go upstairs, [-][/c]find [c][ffff00]Mercer [-][/c]and cover your back.",,,,,,,,,,,,,,,,
pda_OWGWa,GLaD Hideout,,,,,,,,,,,,,,,,
pda_8Kq0i,Find Mercer,,,,,,,,,,,,,,,,
pda_NCemu,===,,,,,,,,,,,,,,,,
pda_44aAS,"[i][[c][00ffff]other side of locked door[-][/c]] .. and you'll probably survive, Commander Mercer![/i]",,,,,,,,,,,,,,,,
pda_8iuW0,Eliminate Commander,,,,,,,,,,,,,,,,
pda_SMata,===,,,,,,,,,,,,,,,,
pda_KW44m,GLaD Hideout,,,,,,,,,,,,,,,,
pda_G4KWW,GLaD Hideout,,,,,,,,,,,,,,,,
pda_qiaeW,Speak Mercer,,,,,,,,,,,,,,,,
pda_6KGau,===,,,,,,,,,,,,,,,,
pda_SW0WS,GLaD Hideout,,,,,,,,,,,,,,,,
pda_mSWmi,Countdown..,,,,,,,,,,,,,,,,
pda_G0SuC,Have a seat in your cockpit and send the code,,,,,,,,,,,,,,,,
pda_8WZTW,"[[c][00ffff]IDA[-][/c]] Sir, we did not get sent any coordinates and it seems all the vessels are already gone.  And now all the traces of a possible traitor are also eradicated..",,,,,,,,,,,,,,,,
pda_qi4im,Cold Case,,,,,,,,,,,,,,,,
pda_Cqe4K,Wait for events..,,,,,,,,,,,,,,,,
pda_4Ccii,===,,,,,,,,,,,,,,,,
pda_W0q4K,[[c][00ffff]IDA[-][/c]]  Message incoming. It is from ambassador Hyzani!,,,,,,,,,,,,,,,,
pda_84iSO,Prison Break,,,,,,,,,,,,,,,,
pda_qeaeq,Find System,,,,,,,,,,,,,,,,
pda_88WO4,"The system is marked on your map with '[c][fbff00]High Security[-][/c]': Find the spot where the Zirax and Kriel territory nearly touch. A few clicks behind the Zirax border, there should be the system.  Go there and warp to the local '[c][eeff00]Asteroid Field[-][/c]'",,,,,,,,,,,,,,,,
pda_uaqGk,"[[c][00ffff]Hyzani[-][/c]] To distract the troops from the prison, we should [c][eeff00]destroy 2 stations[-][/c] of the [c][eeff00]Ghyst[-][/c]. Search for  their bases or defense stations and destroy their station [c][ffff00]cores[-][/c].",,,,,,,,,,,,,,,,
pda_WmQO0,Prison Break,,,,,,,,,,,,,,,,
pda_G4qWC,Distraction 1,,,,,,,,,,,,,,,,
pda_SuKe0,"Fly to any planet orbit and [c][eeff00]destroy 2 stations[-][/c] of the [c][eeff00]Ghyst[-][/c]. If you do not find any, search in the nearby star systems. \n[c][eeff00]Destroy their cores[-][/c] to complete the task. Vessels will work as well.",,,,,,,,,,,,,,,,
pda_GGC6G,Distraction 2,,,,,,,,,,,,,,,,
pda_WCSOu,===,,,,,,,,,,,,,,,,
pda_C4WCm,[[c][00ffff]Hyzani[-][/c]] Well done. We should have distracted them enough for now. Fly [c][ffff00]to the prison[-][/c]. The priority code of the [c][ffff00]Ghyst Command Card[-][/c] will [c][ffff00]silence the turrets[-][/c] and [c][ffff00]open the hangar doors[-][/c] for you. Please let me know when you need help with the escape.,,,,,,,,,,,,,,,,
pda_G800U,Prison Break,,,,,,,,,,,,,,,,
pda_uuXK0,Break into Prison,,,,,,,,,,,,,,,,
pda_uq4GK,You need to have the [c][ffff00]Ghyst Command Card[-][/c] in your inventory to unlock the hangar doors of the prison!,,,,,,,,,,,,,,,,
pda_uqWUq,Prison Break,,,,,,,,,,,,,,,,
pda_aGaqK,Find Alex,,,,,,,,,,,,,,,,
pda_OW1eJ,===,,,,,,,,,,,,,,,,
pda_GWQG8,Prison Break,,,,,,,,,,,,,,,,
pda_eGG0S,Speak to Tharkan,,,,,,,,,,,,,,,,
pda_GAatC,===,,,,,,,,,,,,,,,,
pda_8Uqan,Prison Break,,,,,,,,,,,,,,,,
pda_hClGq,Find Cell Block Control,,,,,,,,,,,,,,,,
pda_2qakq,===,,,,,,,,,,,,,,,,
pda_KqGSO,Release Prisoners,,,,,,,,,,,,,,,,
pda_qCqt0,===,,,,,,,,,,,,,,,,
pda_eOqOC,Prison Break,,,,,,,,,,,,,,,,
pda_meiCa,Securing com.,,,,,,,,,,,,,,,,
pda_4eSS8,===,,,,,,,,,,,,,,,,
pda_a04M8,Prison Break,,,,,,,,,,,,,,,,
pda_CauJS,Use Lever,,,,,,,,,,,,,,,,
pda_8Caam,===,,,,,,,,,,,,,,,,
pda_9G4QW,Prison Break,,,,,,,,,,,,,,,,
pda_u0KGi,Leave system,,,,,,,,,,,,,,,,
pda_480qO,===,,,,,,,,,,,,,,,,
pda_O4SaS,Sigma Fulcrum,,,,,,,,,,,,,,,,
pda_Siu08,Find Code 1,,,,,,,,,,,,,,,,
pda_iL04u,"Convince the station AI of a required maintenance. Use the various [c][00ffff]station consoles[-][/c] and read what the station AI is saying. Look for the following keywords in the messages: [c][ffff00]Date of Activation[-][/c], [c][ffff00]Incompatibility errors[-][/c] and [c][ffff00]Polaris references. [-][/c]This might take several tries. \n[u]Keywords/sentence to look for:[/u] [c][fbff00]date of activation[-][/c]",,,,,,,,,,,,,,,,
pda_OW8Wi,Find Code 2,,,,,,,,,,,,,,,,
pda_COK8i,Find Code 3,,,,,,,,,,,,,,,,
pda_8Beai,[u]Keywords/sentence to look for:[/u] [c][ffff00]I keep finding [-][/c][c][fbff00]Polaris references[-][/c],,,,,,,,,,,,,,,,
pda_O0RKa,[u]Keywords/sentence to look for:[/u][c][ffff00] incompatibility errors[-][/c],,,,,,,,,,,,,,,,
pda_Oqqu8,[[c][00ffff]Yarod[-][/c]] We have them all! Now we need to find the [c][ffff00]CPU_Console[-][/c]. Take care. It will be guarded!,,,,,,,,,,,,,,,,
pda_GGu4u,Sigma Fulcrum,,,,,,,,,,,,,,,,
pda_Jqm4W,Find CPU Console,,,,,,,,,,,,,,,,
pda_eCmW0,===,,,,,,,,,,,,,,,,
pda_48K00,Sigma Fulcrum,,,,,,,,,,,,,,,,
pda_82WGe,Find Quartermaster,,,,,,,,,,,,,,,,
pda_mWqCi,"Use the elevator on the right side and go to the lowest level. Then straight ahead until you reach a [c][ffff00]red door[-][/c]. \nFrom there, follow the painted red corridors up to the Core.",,,,,,,,,,,,,,,,
pda_Smuua,"[[c][00ffff]Yarod[-][/c]] Use the elevator on the right side and go to the lowest level. Then straight ahead until you reach a [c][ffff00]red door[-][/c]. From there, follow the painted red corridors up to the Core.",,,,,,,,,,,,,,,,
pda_WiGmW,[[c][00ffff]Yarod[-][/c]] Access the console and follow its orders.,,,,,,,,,,,,,,,,
pda_COe8W,Sigma Fulcrum,,,,,,,,,,,,,,,,
pda_eCOSu,Access CPU console,,,,,,,,,,,,,,,,
pda_KGKeK,===,,,,,,,,,,,,,,,,
pda_AmG4u,"[[c][00ffff]Yarod[-][/c]] To find the CORE, we first need to find the [c][ffff00]Quartermasters [-][/c]office.",,,,,,,,,,,,,,,,
pda_Ee4OK,Required: Destroy the CORE in order to complete the task.\nNot required/optional: You can also replace the CORE and capture the station that way. The turrets in the station will then combat remaining enemies - which might wreck some havoc.,,,,,,,,,,,,,,,,
pda_aKIei,Access Station Console,,,,,,,,,,,,,,,,
pda_4CqaS,Access the Station Console in the CORE room.,,,,,,,,,,,,,,,,
pda_SiOKe,"[[c][00ffff]Yarod[-][/c]] Well done, Commander. Replace the Core to claim the station, if you want. But then we should get out of here and report GLaD what we found!",,,,,,,,,,,,,,,,
pda_GOLaK,[[c][00ffff]Yarod[-][/c]] Destroy the Core.,,,,,,,,,,,,,,,,
pda_DuiKe,[[c][00ffff]Palant[-][/c]] The container doors of the [c][ffff00]red containers [-][/c]just opened! Quick - we need to close them!,,,,,,,,,,,,,,,,
pda_0861K,GLaD Hideout,,,,,,,,,,,,,,,,
pda_uWmWa,Eliminate Creatures,,,,,,,,,,,,,,,,
pda_8SOqI,===,,,,,,,,,,,,,,,,
pda_Ga0fW,What was that?,,,,,,,,,,,,,,,,
pda_KK008,Is it normal that this does not set off an alarm?,,,,,,,,,,,,,,,,
pda_88CWa,GLaD Hideout,,,,,,,,,,,,,,,,
pda_OuCPi,Hacking door..,,,,,,,,,,,,,,,,
pda_OseO8,===,,,,,,,,,,,,,,,,
pda_GoKeS,"[[c][00ffff]IDA[-][/c]] Door lock removed! Attention, Commander. Mercer is not alone!",,,,,,,,,,,,,,,,
pda_mimGi,GLaD Hideout,,,,,,,,,,,,,,,,
pda_u0044,Purge Base,,,,,,,,,,,,,,,,
pda_c8uGe,Have a seat in your cockpit,,,,,,,,,,,,,,,,
pda_Gmmq4,[[c][00ffff]IDA[-][/c]] Self Destruction Countdown started!,,,,,,,,,,,,,,,,
pda_Wia4e,GLaD Hideout,,,,,,,,,,,,,,,,
pda_W0q8W,Evacuation,,,,,,,,,,,,,,,,
pda_mSm8K,The self-destruction activator can be found in the room next to the upper landing pad.,,,,,,,,,,,,,,,,
pda_uWme8,"[[c][00ffff]Mercer[-][/c]] The crew is evacuated, Commander! We'll meet on rally point alpha! Mercer out.",,,,,,,,,,,,,,,,
pda_omwj4,Fly to base,,,,,,,,,,,,,,,,
pda_8WG6S,===,,,,,,,,,,,,,,,,
pda_uCamK,Prison Break,,,,,,,,,,,,,,,,
pda_ZWK8u,Approach Prison,,,,,,,,,,,,,,,,
pda_04GGJ,===,,,,,,,,,,,,,,,,
pda_8We6K,"[[c][00ffff]IDA[-][/c]] Sending Ghyst priority code ... success! The hangar doors are unlocked, but we need to get rid of the turrets. [c][ffff00]Destroy them[-][/c] before entering the prison! Be prepared for surprises. The station is on alert!",,,,,,,,,,,,,,,,
pda_ic0SQ,[[c][00ffff]IDA[-][/c]] The Prisoners are in the [c][ffff00]main cell block[-][/c]. Expect all sorts of traps and troops on your way.,,,,,,,,,,,,,,,,
pda_KEeGC,Prison Break,,,,,,,,,,,,,,,,
pda_AWCSQ,Main Cell Block,,,,,,,,,,,,,,,,
pda_Q0ecC,===,,,,,,,,,,,,,,,,
pda_OKaeu,[[c][00ffff]IDA[-][/c]] The captives should be somewhere inside.,,,,,,,,,,,,,,,,
pda_OsWum,[[c][00ffff]IDA[-][/c]] There should be a [c][ffff00]lever [-][/c]in the control room around the corner.,,,,,,,,,,,,,,,,
pda_ApuiG,"[[c][00ffff]IDA[-][/c]] Commander, I am afraid we have been locked out! We need to go to the [c][ffff00]COMMAND CENTER[-][/c] and use the main override. I managed to unlock the doors for our way there!",,,,,,,,,,,,,,,,
pda_4qGee,Prison Break,,,,,,,,,,,,,,,,
pda_GKW4i,Checking options..,,,,,,,,,,,,,,,,
pda_O8XWN,===,,,,,,,,,,,,,,,,
pda_CWqiG,"IDA, please call Hyzani. I have an idea.",,,,,,,,,,,,,,,,
pda_OKu8d,Prison Break,,,,,,,,,,,,,,,,
pda_egmIu,Securing com..,,,,,,,,,,,,,,,,
pda_iqKmu,"[[c][00ffff]Captain[-][/c]] Commander, the prisoners are safe, but there is a swarm of Kriel coming to attack this position. You should leave.  Ambassador Hyzani wants to meet you on her ship as soon as you find the time.",,,,,,,,,,,,,,,,
pda_KWSCK,===,,,,,,,,,,,,,,,,
pda_GGWqO,Prison Break,,,,,,,,,,,,,,,,
pda_8tSai,Find override access,,,,,,,,,,,,,,,,
pda_aKm88,The override access lever can be found on the wall of the main COMMAND CENTER.,,,,,,,,,,,,,,,,
pda_qm48e,"IDA, please locate the converter and overload it the same moment I activate the override access",,,,,,,,,,,,,,,,
pda_qqm0S,"[[c][00ffff]IDA[-][/c]] Commander, the captain of the rescue vessel is calling us.",,,,,,,,,,,,,,,,
pda_ai8ui,Debriefing,,,,,,,,,,,,,,,,
